subtype,category,default_verdict,rationale,typical_repair_share,typical_repair_time
cr_injector,fuel_equipment,replace,Электрогидравлическая форсунка Common Rail: при износе распылителя обычно экономичнее замена; как компромисс — восстановленная (reman).,50–60%,5–8 дн
mech_injector,fuel_equipment,repair,Механическая форсунка: как правило ремонтопригодна — замена распылителя и регулировка/опрессовка на стенде.,30–40%,2–4 дн
injector,fuel_equipment,repair,"Форсунка судового ДВС: штатно обслуживается — переборка, замена распылителя, опрессовка.",30–50%,3–6 дн
fuel_valve,fuel_equipment,repair,Топливный клапан MAN B&W: рутинно перебирается по регламенту с ремкомплектом.,20–40%,1–3 дн
nozzle,fuel_equipment,replace,"Распылитель — прецизионная расходная деталь, восстановление нецелесообразно.",—,—
hp_pump,fuel_equipment,repair,Насос высокого давления (CP3 и т.п.): обычно восстанавливается в сервисе (ремкомплект/перешлифовка).,40–50%,5–10 дн
injection_pump,fuel_equipment,repair,"ТНВД судового ДВС: ремонтопригоден в сервисе (плунжерная пара, регулировка).",40–50%,5–10 дн
pump_element,fuel_equipment,replace,"Плунжерная пара — прецизионный расходник, меняется в сборе.",—,—
fuel_filter,fuel_equipment,replace,"Фильтроэлемент — расходник, только замена.",—,—
screw_pump,pump,repair,"Винтовой насос: восстанавливается (замена винтов/уплотнений), если корпус цел.",30–50%,2–5 дн
screw_set,pump,replace,Комплект винтов (роторов): при износе меняется.,—,—
idler_set,pump,replace,Ведомые винты (idler): при износе меняются.,—,—
impeller,pump,repair,Металлическое рабочее колесо: при умеренном кавитационном износе восстанавливается наплавкой и балансировкой.,30–50%,1–3 дн
flexible_impeller,pump,replace,"Резиновый импеллер — расходник, только замена.",—,—
centrifugal_pump,pump,repair,"Центробежный насос: переборка (уплотнения, щелевые кольца, подшипники).",30–50%,1–3 дн
mech_seal,pump,replace,"Торцевое уплотнение — меняется в сборе, не ремонтируется.",—,—
shaft,pump,repair,Вал насоса: восстановление проточкой/наплавкой возможно; при биении — замена.,40–60%,2–5 дн
wear_ring,pump,replace,"Щелевое кольцо (wear ring) — изнашиваемая деталь, замена.",—,—
shaft_sleeve,pump,replace,"Втулка вала — изнашиваемая деталь, замена.",—,—
bearing,pump,replace,Подшипник — замена.,—,—
gasket,pump,replace,Прокладка/уплотнение — замена.,—,—
